nconst,primaryName,birthYear,deathYear,primaryProfession,knownForTitles
nm0000066,Jane Russell,1921.0,2011.0,"actress,soundtrack,producer","tt0044863,tt0043643,tt0045810,tt0043476"
nm0000067,Miklós Rózsa,1907.0,1995.0,"music_department,composer,soundtrack","tt0052618,tt0036775,tt0037884,tt0038109"
nm0000069,Frank Sinatra,1915.0,1998.0,"soundtrack,actor,producer","tt0050815,tt0056218,tt0052218,tt0045793"
nm0000070,Max Steiner,1888.0,1971.0,"music_department,composer,soundtrack","tt0036613,tt0031381,tt0034583,tt0040897"
nm0000071,James Stewart,1908.0,1997.0,"actor,soundtrack,director","tt0052357,tt0031679,tt0032904,tt0052561"
nm0000072,Elizabeth Taylor,1932.0,2011.0,"actress,soundtrack,producer","tt0061184,tt0051459,tt0053318,tt0056937"
nm0000074,Gene Tierney,1920.0,1991.0,"actress,soundtrack","tt0037008,tt0037865,tt0039420,tt0038492"
nm0000075,Spencer Tracy,1900.0,1967.0,"actor,soundtrack","tt0061735,tt0047849,tt0055031,tt0053946"
nm0000076,François Truffaut,1932.0,1984.0,"writer,director,producer","tt0075860,tt0070460,tt0053198,tt0055032"
nm0000077,Franz Waxman,1906.0,1967.0,"music_department,composer,soundtrack","tt0026138,tt0032976,tt0043014,tt0034248"
nm0000078,John Wayne,1907.0,1979.0,"actor,producer,soundtrack","tt0056217,tt0065126,tt0053580,tt0031971"
nm0000080,Orson Welles,1915.0,1985.0,"actor,director,writer","tt0057427,tt0052311,tt0033467,tt0040525"
nm0000081,Natalie Wood,1938.0,1981.0,"actress,soundtrack,music_department","tt0055614,tt0057263,tt0048545,tt0055471"
nm0000082,Victor Young,1900.0,1956.0,"music_department,soundtrack,composer","tt3315342,tt0045061,tt0048960,tt0119094"
nm0000084,Li Gong,1965.0,,actress,"tt0430357,tt0473444,tt0397535,tt0101640"
nm0000090,Armin Mueller-Stahl,1930.0,,"actor,director,writer","tt0963178,tt0117631,tt0119174,tt0765443"
nm0000091,Gérard Pirès,1942.0,,"director,writer,actor","tt0064297,tt0282552,tt0152930,tt0421974"
nm0000092,John Cleese,1939.0,,"actor,writer,producer","tt0063929,tt0085959,tt0071853,tt0095159"
nm0000093,Brad Pitt,1963.0,,"actor,producer,soundtrack","tt1210166,tt2935510,tt0114746,tt0356910"
nm0000095,Woody Allen,1935.0,,"writer,director,actor","tt0075686,tt0079522,tt0118954,tt0097123"
nm0000096,Gillian Anderson,1968.0,,"actress,producer,soundtrack","tt0455590,tt2294189,tt0106179,tt0442632"
nm0000097,Pamela Anderson,1967.0,,"actress,producer,director","tt0426592,tt0267913,tt0115624,tt0306047"
nm0000098,Jennifer Aniston,1969.0,,"actress,producer,soundtrack","tt0108778,tt3442006,tt1564367,tt1723121"
nm0000099,Patricia Arquette,1968.0,,"actress,director,soundtrack","tt0145531,tt1065073,tt0412175,tt0108399"
nm0000100,Rowan Atkinson,1955.0,,"actor,writer,producer","tt0118689,tt0274166,tt0110357,tt1634122"
nm0000101,Dan Aykroyd,1952.0,,"writer,actor,producer","tt0087332,tt0118747,tt0080455,tt0097428"
nm0000102,Kevin Bacon,1958.0,,"actor,producer,soundtrack","tt0164052,tt0327056,tt0361127,tt0087277"
nm0000103,Fairuza Balk,1974.0,,"actress,soundtrack","tt0181875,tt0120586,tt0115963,tt0089908"
nm0000104,Antonio Banderas,1960.0,,"actor,soundtrack,producer","tt0120657,tt1189073,tt0120746,tt0112851"
nm0000105,Adrienne Barbeau,1945.0,,"actress,soundtrack","tt0080749,tt0082340,tt0083767,tt1024648"
nm0000106,Drew Barrymore,1975.0,,"producer,actress,soundtrack","tt0160127,tt0343660,tt0151738,tt0120631"
nm0000107,Kim Basinger,1953.0,,"actress,soundtrack,producer","tt0337921,tt0119488,tt0108525,tt0096895"
nm0000108,Luc Besson,1959.0,,"writer,producer,director","tt0119116,tt2872732,tt0100263,tt0110413"
nm0000109,Yasmine Bleeth,1968.0,,actress,"tt0119271,tt0115285,tt0131857,tt0337851"
nm0000110,Kenneth Branagh,1960.0,,"actor,producer,director","tt0107616,tt3402236,tt0097499,tt0116477"
nm0000111,Matthew Broderick,1962.0,,"actor,soundtrack,director","tt0091042,tt0115798,tt0395251,tt0086567"
nm0000112,Pierce Brosnan,1953.0,,"actor,producer,soundtrack","tt0143145,tt0795421,tt0120347,tt0155267"
nm0000113,Sandra Bullock,1964.0,,"producer,actress,soundtrack","tt0111257,tt0212346,tt1041829,tt1454468"
nm0000114,Steve Buscemi,1957.0,,"actor,director,producer","tt4686844,tt0116282,tt0105236,tt0162346"
nm0000115,Nicolas Cage,1964.0,,"actor,producer,soundtrack","tt0119094,tt0117500,tt0435705,tt0113627"
nm0000116,James Cameron,1954.0,,"writer,producer,director","tt0103064,tt0120338,tt0499549,tt0090605"
nm0000117,Neve Campbell,1973.0,,"actress,producer,soundtrack","tt0120082,tt0120890,tt0134084,tt0117571"
nm0000118,John Carpenter,1948.0,,"soundtrack,writer,music_department","tt0096256,tt0077651,tt0080749,tt0082340"
nm0000119,Tia Carrere,1967.0,,"actress,soundtrack,producer","tt0275847,tt0207919,tt0111503,tt0105793"
nm0000120,Jim Carrey,1962.0,,"actor,writer,producer","tt0315327,tt0109040,tt0338013,tt0120382"
nm0000121,Phoebe Cates,1963.0,,"actress,soundtrack","tt0101775,tt0083929,tt0087363,tt0099700"
nm0000122,Charles Chaplin,1889.0,1977.0,"writer,soundtrack,actor","tt0044837,tt0027977,tt0018773,tt0032553"
nm0000123,George Clooney,1961.0,,"actor,producer,director","tt0116367,tt1193138,tt0465538,tt1124035"
nm0000124,Jennifer Connelly,1970.0,,actress,"tt0102803,tt0315983,tt0268978,tt0180093"
nm0000125,Sean Connery,1930.0,2020.0,"actor,producer,soundtrack","tt0094226,tt0059800,tt0058150,tt0117500"
nm0000126,Kevin Costner,1955.0,,"actor,producer,soundtrack","tt0119925,tt0102798,tt0099348,tt0103855"
nm0000127,Wes Craven,1939.0,2015.0,"writer,producer,director","tt0087800,tt0105121,tt0117571,tt0111686"
nm0000128,Russell Crowe,1964.0,,"actor,soundtrack,producer","tt0119488,tt0172495,tt0268978,tt1707386"
nm0000129,Tom Cruise,1962.0,,"actor,producer,soundtrack","tt0325710,tt0116695,tt0092099,tt0181689"
nm0000130,Jamie Lee Curtis,1958.0,,"actress,producer,director","tt0111503,tt0120694,tt0322330,tt1502407"
nm0000131,John Cusack,1966.0,,"actor,producer,writer","tt0146882,tt0119229,tt0098258,tt0450385"
nm0000132,Claire Danes,1979.0,,"actress,producer,soundtrack","tt0108872,tt0117509,tt0274558,tt1796960"
nm0000133,Geena Davis,1956.0,,"actress,producer,soundtrack","tt0091064,tt0103074,tt0116908,tt0104694"
nm0000134,Robert De Niro,1943.0,,"actor,producer,soundtrack","tt0101540,tt0077416,tt0081398,tt0075314"
nm0000136,Johnny Depp,1963.0,,"actor,producer,soundtrack","tt0449088,tt0408236,tt0367594,tt0325980"
nm0000137,Bo Derek,1956.0,,"actress,producer,miscellaneous","tt0099656,tt0114694,tt0086987,tt0083170"
nm0000138,Leonardo DiCaprio,1974.0,,"actor,producer,writer","tt1375666,tt0407887,tt0120338,tt0993846"
nm0000139,Cameron Diaz,1972.0,,"actress,producer,soundtrack","tt0129387,tt0259711,tt0160127,tt0119738"
nm0000140,Michael Douglas,1944.0,,"actor,producer,soundtrack","tt0094291,tt0093010,tt0103772,tt1291580"
nm0000141,David Duchovny,1960.0,,"actor,producer,director","tt0904208,tt0120902,tt0106179,tt0443701"
nm0000142,Clint Eastwood,1930.0,,"actor,producer,director","tt0405159,tt0105695,tt1205489,tt0112579"
nm0000143,Erika Eleniak,1969.0,,actress,"tt0094761,tt0083866,tt0106400,tt0105690"
nm0000144,Cary Elwes,1962.0,,"actor,producer,director","tt0093779,tt0119468,tt0107977,tt0387564"
nm0000145,Sherilyn Fenn,1965.0,,"actress,soundtrack","tt0092240,tt0105046,tt0100935,tt0098936"
nm0000146,Ralph Fiennes,1962.0,,"actor,director,soundtrack","tt0387131,tt2278388,tt1201607,tt0108052"
nm0000147,Colin Firth,1960.0,,"actor,producer,soundtrack","tt2802144,tt0243155,tt1504320,tt1315981"
nm0000148,Harrison Ford,1942.0,,"actor,writer,producer","tt0106977,tt0090329,tt0082971,tt1856101"
nm0000149,Jodie Foster,1962.0,,"actress,director,producer","tt0118884,tt0102926,tt0476964,tt0075314"
nm0000150,Michael J. Fox,1961.0,,"actor,producer,miscellaneous","tt0088763,tt0116365,tt0096874,tt0115369"
nm0000151,Morgan Freeman,1937.0,,"actor,producer,soundtrack","tt0114369,tt1057500,tt0097239,tt0405159"
nm0000152,Richard Gere,1949.0,,"actor,soundtrack,producer","tt0084434,tt0358135,tt0299658,tt0100405"
nm0000153,Gina Gershon,1962.0,,"actress,soundtrack,producer","tt1726669,tt0114436,tt0115736,tt0119094"
nm0000154,Mel Gibson,1956.0,,"actor,producer,director","tt0117438,tt0112573,tt0104714,tt0118883"
nm0000155,Whoopi Goldberg,1955.0,,"actress,producer,writer","tt0108147,tt0105417,tt0088939,tt0099653"
nm0000156,Jeff Goldblum,1952.0,,"actor,soundtrack,producer","tt2278388,tt0091064,tt0116629,tt0107290"
nm0000157,Linda Hamilton,1956.0,,actress,"tt0088247,tt0103064,tt0118928,tt6450804"
nm0000158,Tom Hanks,1956.0,,"producer,actor,soundtrack","tt0112384,tt0162222,tt0109830,tt0094737"
nm0000159,Teri Hatcher,1964.0,,"actress,soundtrack,writer","tt0120347,tt0106057,tt0327597,tt0410975"
nm0000160,Ethan Hawke,1970.0,,"actor,writer,soundtrack","tt2209418,tt0112471,tt0139654,tt0381681"
nm0000161,Salma Hayek,1966.0,,"actress,producer,soundtrack","tt0112851,tt0120679,tt0120655,tt0120891"
nm0000162,Anne Heche,1969.0,,"actress,writer,producer","tt0251160,tt0119008,tt0120828,tt0120885"
nm0000163,Dustin Hoffman,1937.0,,"actor,producer,soundtrack","tt0084805,tt0061722,tt0095953,tt0064665"
nm0000164,Anthony Hopkins,1937.0,,"actor,soundtrack,composer","tt0102926,tt0212985,tt0975645,tt0412080"
nm0000165,Ron Howard,1954.0,,"actor,producer,director","tt0268978,tt0367279,tt0112384,tt0870111"
nm0000166,Helen Hunt,1963.0,,"actress,producer,director","tt0119822,tt0162222,tt0103484,tt0117998"
nm0000167,Elizabeth Hurley,1965.0,,"actress,producer","tt0230030,tt0145660,tt0105104,tt0118655"
nm0000168,Samuel L. Jackson,1948.0,,"actor,producer,soundtrack","tt0119396,tt0110912,tt3460252,tt0417148"
nm0000169,Tommy Lee Jones,1946.0,,"actor,director,soundtrack","tt0477348,tt2398231,tt0106977,tt0443272"
nm0000170,Milla Jovovich,1975.0,,"actress,soundtrack,producer","tt1220198,tt1220634,tt0432021,tt0119116"
nm0000171,Ashley Judd,1968.0,,"actress,producer,director","tt0352277,tt0470705,tt0113277,tt0150377"
nm0000172,Harvey Keitel,1939.0,,"actor,producer,soundtrack","tt0110912,tt0103759,tt2278388,tt0105236"
nm0000173,Nicole Kidman,1967.0,,"actress,producer,soundtrack","tt0203009,tt0159365,tt0276919,tt0274558"
nm0000174,Val Kilmer,1959.0,,"actor,soundtrack,producer","tt0101761,tt0373469,tt0235737,tt0120053"
nm0000175,Stephen King,1947.0,,"writer,producer,actor","tt0775440,tt0091499,tt0111161,tt0083767"
nm0000176,Nastassja Kinski,1961.0,,"actress,producer,soundtrack","tt0083722,tt0111400,tt0087884,tt0080009"
nm0000177,Kevin Kline,1947.0,,"actor,soundtrack,director","tt0120891,tt0095159,tt0113117,tt0106673"
nm0000178,Diane Lane,1965.0,,"actress,soundtrack","tt0328589,tt0250797,tt0086066,tt2096673"
nm0000179,Jude Law,1972.0,,"actor,producer,soundtrack","tt0376541,tt0346156,tt2278388,tt0134119"
nm0000180,David Lean,1908.0,1991.0,"editor,director,writer","tt0059113,tt0037558,tt0056172,tt0050212"
nm0000181,Heather Locklear,1961.0,,"actress,producer,soundtrack","tt0119695,tt0380623,tt0103491,tt0098193"
nm0000182,Jennifer Lopez,1969.0,,"producer,actress,soundtrack","tt0299930,tt0118615,tt0209958,tt0120094"
nm0000184,George Lucas,1944.0,,"writer,producer,director","tt0076759,tt0069704,tt0066434,tt0082971"
nm0000185,Dolph Lundgren,1957.0,,"actor,producer,director","tt0105698,tt0089927,tt0093507,tt0113481"
nm0000186,David Lynch,1946.0,,"writer,director,producer","tt0105665,tt0098936,tt0166924,tt0460829"
nm0000187,Madonna,1958.0,,"soundtrack,actress,composer","tt0116250,tt0104694,tt0099422,tt0246460"
nm0000188,Steve Martin,1945.0,,"writer,actor,soundtrack","tt0093886,tt0102250,tt0131325,tt0079367"
nm0000190,Matthew McConaughey,1969.0,,"actor,producer,soundtrack","tt1935179,tt0790636,tt1726669,tt1915581"
nm0000191,Ewan McGregor,1971.0,,"actor,producer,soundtrack","tt0117951,tt1322269,tt0120915,tt0203009"
nm0000192,Alyssa Milano,1972.0,,"actress,producer,soundtrack","tt0086827,tt0158552,tt0116287,tt0088944"
nm0000193,Demi Moore,1962.0,,"actress,producer,director","tt0099653,tt0305357,tt0107211,tt0119173"
nm0000194,Julianne Moore,1960.0,,"actress,producer,soundtrack","tt0842926,tt3316960,tt0175880,tt0297884"
nm0000195,Bill Murray,1950.0,,"actor,soundtrack,writer","tt0128445,tt1748122,tt0362270,tt0335266"
nm0000196,Mike Myers,1963.0,,"actor,writer,soundtrack","tt0811138,tt0118655,tt0145660,tt0295178"
nm0000197,Jack Nicholson,1937.0,,"actor,soundtrack,producer","tt0071315,tt0119822,tt0073486,tt0407887"
nm0000198,Gary Oldman,1958.0,,"actor,soundtrack,producer","tt1340800,tt4555426,tt0103874,tt0468569"
nm0000199,Al Pacino,1940.0,,"actor,producer,soundtrack","tt0072890,tt0099422,tt0068646,tt0070666"
nm0000200,Bill Paxton,1955.0,2017.0,"actor,producer,writer","tt0112384,tt0117998,tt0264616,tt0090605"
nm0000201,Michelle Pfeiffer,1958.0,,"actress,soundtrack,producer","tt0117247,tt0106226,tt0427327,tt0161081"
nm0000202,Ryan Phillippe,1974.0,,"actor,producer,director","tt0375679,tt0202677,tt0139134,tt0280707"
nm0000203,River Phoenix,1970.0,1993.0,"actor,soundtrack","tt0102494,tt0096018,tt0092005,tt0091557"
nm0000204,Natalie Portman,1981.0,,"actress,producer,soundtrack","tt0110413,tt0376541,tt0434409,tt0947798"
nm0000205,Parker Posey,1968.0,,"actress,soundtrack,writer","tt0348150,tt0406759,tt0134084,tt0359013"
nm0000206,Keanu Reeves,1964.0,,"actor,producer,soundtrack","tt0102685,tt0111257,tt0133093,tt0234215"
nm0000207,Christina Ricci,1980.0,,"actress,producer,soundtrack","tt0811080,tt0462200,tt0114011,tt0112642"
nm0000208,Molly Ringwald,1968.0,,"actress,soundtrack,music_department","tt0088128,tt0088847,tt0091790,tt0095169"
nm0000209,Tim Robbins,1958.0,,"actor,producer,director","tt0094812,tt0105151,tt0091225,tt0327056"
nm0000210,Julia Roberts,1967.0,,"actress,producer,soundtrack","tt0119738,tt0100405,tt0195685,tt0376541"
nm0000211,Mimi Rogers,1956.0,,"actress,producer,soundtrack","tt0120738,tt0210070,tt0329028,tt0488085"
nm0000212,Meg Ryan,1961.0,,"actress,producer,soundtrack","tt0120632,tt0108160,tt0098635,tt0128853"
nm0000213,Winona Ryder,1971.0,,"actress,producer,soundtrack","tt0100140,tt0110367,tt0172493,tt0097493"
nm0000214,Mia Sara,1967.0,,"actress,soundtrack","tt0112515,tt0091042,tt0111438,tt0089469"
nm0000215,Susan Sarandon,1946.0,,"actress,producer,soundtrack","tt0094812,tt0120686,tt0112818,tt0103074"
nm0000216,Arnold Schwarzenegger,1947.0,,"actor,producer,director","tt0111503,tt0116213,tt0216216,tt0093773"
nm0000217,Martin Scorsese,1942.0,,"producer,director,actor","tt0075314,tt0106226,tt0070379,tt0099685"
nm0000218,Kristin Scott Thomas,1960.0,,"actress,soundtrack,director","tt1602613,tt0109831,tt0280707,tt0116209"
nm0000219,Steven Seagal,1952.0,,"producer,actor,writer","tt0105690,tt0242445,tt0094602,tt0110725"
nm0000220,Joan Severance,1958.0,,"actress,producer","tt0112519,tt0098282,tt0099141,tt0115696"
nm0000221,Charlie Sheen,1965.0,,"actor,producer,soundtrack","tt0107144,tt0369179,tt0108333,tt0094291"
nm0000222,Brooke Shields,1965.0,,"actress,producer,soundtrack","tt0080453,tt0115376,tt0078111,tt0080116"
nm0000223,Elisabeth Shue,1963.0,,"actress,soundtrack,producer","tt0113627,tt0120053,tt0087538,tt0092513"
nm0000224,Alicia Silverstone,1976.0,,"actress,producer,soundtrack","tt0119086,tt0118688,tt0124298,tt0112697"
nm0000225,Christian Slater,1969.0,,"actor,producer,soundtrack","tt0102798,tt0124198,tt4158110,tt0108399"
nm0000226,Will Smith,1968.0,,"music_department,actor,producer","tt0480249,tt0120891,tt0119654,tt0098800"
nm0000227,Mira Sorvino,1967.0,,"actress,producer,soundtrack","tt0119675,tt0120008,tt0120032,tt0113819"
nm0000228,Kevin Spacey,1959.0,,"actor,producer,soundtrack","tt0114369,tt0169547,tt0119488,tt0114814"
nm0000229,Steven Spielberg,1946.0,,"producer,writer,director","tt0083866,tt0120815,tt0082971,tt0108052"
nm0000230,Sylvester Stallone,1946.0,,"actor,writer,producer","tt0084602,tt3076658,tt0089927,tt0075148"
nm0000231,Oliver Stone,1946.0,,"producer,director,writer","tt0102138,tt0091763,tt0096969,tt0110632"
nm0000232,Sharon Stone,1958.0,,"actress,producer,soundtrack","tt0108162,tt0112641,tt0103772,tt0114214"
nm0000233,Quentin Tarantino,1963.0,,"writer,actor,producer","tt0110912,tt0116367,tt0105236,tt3460252"
nm0000234,Charlize Theron,1975.0,,"producer,actress,soundtrack","tt1735898,tt1392190,tt5610554,tt0340855"
nm0000235,Uma Thurman,1970.0,,"actress,soundtrack,producer","tt0118688,tt0266697,tt0110912,tt0378194"
nm0000236,Jennifer Tilly,1958.0,,"actress,soundtrack,writer","tt0387575,tt0115736,tt0109348,tt0144120"
nm0000237,John Travolta,1954.0,,"actor,soundtrack,producer","tt0113161,tt0110912,tt0077631,tt0076666"
nm0000239,Liv Tyler,1977.0,,"actress,producer,soundtrack","tt0482606,tt0120737,tt0167260,tt0120591"
nm0000240,Skeet Ulrich,1970.0,,"actor,director,producer","tt0409572,tt0913354,tt0117571,tt0115963"
nm0000241,Jean-Claude Van Damme,1960.0,,"actor,producer,writer","tt1130988,tt0119013,tt0092675,tt0101764"
nm0000242,Mark Wahlberg,1971.0,,"producer,actor,soundtrack","tt0118749,tt0964517,tt0407887,tt1637725"
nm0000243,Denzel Washington,1954.0,,"actor,producer,soundtrack","tt2671706,tt0168786,tt1037705,tt0139654"
nm0000244,Sigourney Weaver,1949.0,,"actress,soundtrack,producer","tt0118583,tt0499549,tt0177789,tt0078748"
nm0000245,Robin Williams,1951.0,2014.0,"actor,soundtrack,writer","tt0107614,tt0119217,tt0093105,tt0077053"
nm0000246,Bruce Willis,1955.0,,"actor,soundtrack,producer","tt0088571,tt0167404,tt0110912,tt0095016"
nm0000247,John Woo,1946.0,,"director,producer,writer","tt0092263,tt0119094,tt0104684,tt0425637"
nm0000248,Edward D. Wood Jr.,1924.0,1978.0,"writer,director,actor","tt0067479,tt0047127,tt0045826,tt0052077"
nm0000249,James Woods,1947.0,,"actor,producer,soundtrack","tt0119282,tt0159097,tt0120877,tt0086541"
nm0000250,Renée Zellweger,1969.0,,"actress,soundtrack,producer","tt0243155,tt0159365,tt0116695,tt0299658"
nm0000251,Timothy Dowling,1973.0,,"actor,writer,script_department","tt0181852,tt1596350,tt1711525,tt2120120"
nm0000254,Isabelle Adjani,1955.0,,"actress,soundtrack,producer","tt0094828,tt0110963,tt0073114,tt0082933"
nm0000255,Ben Affleck,1972.0,,"producer,actor,writer","tt2267998,tt1024648,tt0840361,tt0119217"
nm0000256,Jenny Agutter,1952.0,,"actress,soundtrack","tt0082010,tt0099253,tt0074812,tt0848228"
nm0000257,Alan Alda,1936.0,,"actor,miscellaneous,soundtrack","tt0338751,tt0082405,tt0097123,tt0068098"
nm0000260,Joan Allen,1956.0,,"actress,producer,soundtrack","tt0115988,tt0113987,tt3170832,tt0452608"
