tconst,ordering,nconst,category,job,characters
tt0022100,4,nm0921532,actor,,"[""Inspector Karl Lohmann""]"
tt0022100,5,nm0000485,director,,
tt0022100,6,nm0902376,writer,script,
tt0022100,7,nm0414825,writer,article,
tt0022100,8,nm0005922,cinematographer,,
tt0022100,9,nm0266239,editor,,
tt0022913,10,nm0531269,writer,,
tt0022913,1,nm0285922,actor,,"[""Phroso""]"
tt0022913,2,nm0404885,actress,,"[""Venus""]"
tt0022913,3,nm0045754,actress,,"[""Cleopatra""]"
tt0022913,4,nm0040374,actor,,"[""Roscoe""]"
tt0022913,5,nm0115218,director,,
tt0022913,6,nm0730317,writer,"suggested by story: ""Spurs""",
tt0022913,7,nm0325135,writer,screenplay,
tt0022913,8,nm0330390,writer,screenplay,
tt0022913,9,nm0090213,writer,additional dialogue,
tt0023427,10,nm0536941,writer,dialogue,
tt0023427,1,nm0612847,actor,,"[""Tony""]"
tt0023427,2,nm0245304,actress,,"[""Cesca""]"
tt0023427,3,nm0605904,actress,,"[""Poppy""]"
tt0023427,4,nm0674019,actor,,"[""Lovo""]"
tt0023427,5,nm0001328,director,,
tt0023427,6,nm0744514,director,co-director,
tt0023427,7,nm0870660,writer,from the book by,
tt0023427,8,nm0372942,writer,screen story by,
tt0023427,9,nm0589316,writer,dialogue,
tt0023969,10,nm0789049,cinematographer,,
tt0023969,1,nm0000050,actor,,"[""Rufus T. Firefly""]"
tt0023969,2,nm0555617,actor,,"[""Pinky""]"
tt0023969,3,nm0555597,actor,,"[""Chicolini""]"
tt0023969,4,nm0555688,actor,,"[""Bob Roland""]"
tt0023969,5,nm0564970,director,,
tt0023969,6,nm0436095,writer,story,
tt0023969,7,nm0748438,writer,story,
tt0023969,8,nm0790654,writer,additional dialogue,
tt0023969,9,nm0674759,writer,additional dialogue,
tt0024184,10,nm0480673,producer,producer,
tt0024184,1,nm0001647,actor,,"[""Dr. Jack Griffin aka The Invisible Man""]"
tt0024184,2,nm0001784,actress,,"[""Flora Cranley""]"
tt0024184,3,nm0364203,actor,,"[""Dr. Arthur Kemp""]"
tt0024184,4,nm0871287,actor,,"[""Dr. Cranley""]"
tt0024184,5,nm0001843,director,,
tt0024184,6,nm0920229,writer,novel,
tt0024184,7,nm0792670,writer,screenplay,
tt0024184,8,nm0002545,writer,contributing writer,
tt0024184,9,nm0943804,writer,,
tt0024216,10,nm0330390,writer,contributing writer,
tt0024216,1,nm0942039,actress,,"[""Ann Darrow""]"
tt0024216,2,nm0035877,actor,,"[""Carl Denham""]"
tt0024216,3,nm0127677,actor,,"[""John Driscoll""]"
tt0024216,4,nm0717046,actor,,"[""Capt. Englehorn""]"
tt0024216,5,nm0178260,director,,
tt0024216,6,nm0774325,director,,
tt0024216,7,nm0187256,writer,screen play,
tt0024216,8,nm0741656,writer,screen play,
tt0024216,9,nm0908624,writer,from an idea conceived by,
tt0025316,10,nm0858977,actor,,"[""King Westley""]"
tt0025316,1,nm0000022,actor,,"[""Peter Warne""]"
tt0025316,2,nm0001055,actress,,"[""Ellie Andrews""]"
tt0025316,3,nm0175369,actor,,"[""Alexander Andrews""]"
tt0025316,4,nm0439850,actor,,"[""Oscar Shapeley""]"
tt0025316,5,nm0001008,director,,
tt0025316,6,nm0728307,writer,screen play,
tt0025316,7,nm0011343,writer,based on the short story by,
tt0025316,8,nm0907900,cinematographer,,
tt0025316,9,nm0369879,editor,film editor,
tt0025878,10,nm0002197,composer,,
tt0025878,1,nm0001635,actor,,"[""Nick Charles""]"
tt0025878,2,nm0001485,actress,,"[""Nora Charles""]"
tt0025878,3,nm0001577,actress,,"[""Dorothy Wynant""]"
tt0025878,4,nm0671738,actor,,"[""Guild""]"
tt0025878,5,nm0886754,director,,
tt0025878,6,nm0352443,writer,screen play,
tt0025878,7,nm0329304,writer,screen play,
tt0025878,8,nm0358591,writer,from the novel by,
tt0025878,9,nm0834898,producer,producer,
tt0026029,10,nm0878604,editor,,
tt0026029,1,nm0232196,actor,,"[""Hannay""]"
tt0026029,2,nm0140914,actress,,"[""Pamela""]"
tt0026029,3,nm0543169,actress,,"[""Miss Smith""]"
tt0026029,4,nm0853607,actor,,"[""Professor Jordan""]"
tt0026029,5,nm0000033,director,,
tt0026029,6,nm0117955,writer,adapted from the novel by,
tt0026029,7,nm0071657,writer,adaptation,
tt0026029,8,nm0067308,writer,dialogue,
tt0026029,9,nm0461497,cinematographer,,
tt0026138,10,nm0088662,writer,adaptation,
tt0026138,1,nm0000472,actor,,"[""The Monster""]"
tt0026138,2,nm0006471,actress,,"[""Mary Wollstonecraft Shelley"",""The Monster's Mate""]"
tt0026138,3,nm0166972,actor,,"[""Henry Frankenstein""]"
tt0026138,4,nm0387753,actress,,"[""Elizabeth""]"
tt0026138,5,nm0001843,director,,
tt0026138,6,nm0791217,writer,suggested by: the original story written in 1816 by,
tt0026138,7,nm0403398,writer,adapted by,
tt0026138,8,nm0049721,writer,adapted by,
tt0026138,9,nm0076653,writer,adaptation,
tt0026778,10,nm0000036,writer,,
tt0026778,1,nm0000050,actor,,"[""Otis B. Driftwood""]"
tt0026778,2,nm0555597,actor,,"[""Fiorello""]"
tt0026778,3,nm0555617,actor,,"[""Tomasso""]"
tt0026778,4,nm0137634,actress,,"[""Rosa Castaldi""]"
tt0026778,5,nm0939992,director,,
tt0026778,6,nm0332539,director,,
tt0026778,7,nm0442151,writer,screen play,
tt0026778,8,nm0753452,writer,screen play,
tt0026778,9,nm0570130,writer,from a story by,
tt0027977,10,nm0305087,actor,,"[""President of the Electro Steel Corp.""]"
tt0027977,1,nm0000122,actor,,"[""A Factory Worker""]"
tt0027977,2,nm0002104,actress,,"[""A Gamin""]"
tt0027977,3,nm0074788,actor,,"[""Cafe Proprietor""]"
tt0027977,4,nm0761866,actor,,"[""Big Bill""]"
tt0027977,5,nm0005806,cinematographer,,
tt0027977,6,nm0005906,cinematographer,,
tt0027977,7,nm0174682,actor,,"[""Mechanic""]"
tt0027977,8,nm0003424,actor,,"[""Burglar""]"
tt0027977,9,nm0090008,actor,,"[""Gamin's Father""]"
tt0028950,10,nm0509073,editor,,
tt0028950,1,nm0300064,actor,,"[""Le lieutenant Maréchal""]"
tt0028950,2,nm0663077,actress,,"[""Elsa""]"
tt0028950,3,nm0294382,actor,,"[""Le captaine de Boeldieu""]"
tt0028950,4,nm0002233,actor,,"[""Le captaine von Rauffenstein""]"
tt0028950,5,nm0719756,director,,
tt0028950,6,nm0816458,writer,scenario and dialogue,
tt0028950,7,nm0006158,composer,,
tt0028950,8,nm0559300,cinematographer,,
tt0028950,9,nm0401123,editor,film editor,
tt0029583,10,nm0789313,director,sequence director,
tt0029583,1,nm0143314,actress,,"[""Snow White""]"
tt0029583,2,nm0830968,actor,,"[""Prince""]"
tt0029583,3,nm0479164,actress,,"[""Queen"",""Witch""]"
tt0029583,4,nm0041165,actor,,"[""Doc""]"
tt0029583,5,nm0183183,director,sequence director,
tt0029583,6,nm0359457,director,supervising director,
tt0029583,7,nm0414144,director,sequence director,
tt0029583,8,nm0604392,director,sequence director,
tt0029583,9,nm0668998,director,sequence director,
tt0029843,10,nm0006157,composer,,
tt0029843,1,nm0001224,actor,,"[""Robin Hood""]"
tt0029843,2,nm0000014,actress,,"[""Maid Marian""]"
tt0029843,3,nm0001651,actor,,"[""Sir Guy of Gisbourne""]"
tt0029843,4,nm0001647,actor,,"[""Prince John""]"
tt0029843,5,nm0002031,director,,
tt0029843,6,nm0445033,director,,
tt0029843,7,nm0706993,writer,original screenplay: based upon ancient Robin Hood legends,
tt0029843,8,nm0589316,writer,original screenplay: based upon ancient Robin Hood legends,
tt0029843,9,nm0500284,writer,contributor to treatment,
tt0029947,1,nm0000031,actress,,"[""Susan Vance""]"
tt0029947,2,nm0000026,actor,,"[""David Huxley""]"
tt0029947,3,nm0749476,actor,,"[""Major Applegate""]"
tt0029947,4,nm0146185,actor,,"[""Slocum""]"
tt0029947,5,nm0001328,director,,
tt0029947,6,nm0629580,writer,screen play,
tt0029947,7,nm0928444,writer,screen play,
tt0029947,8,nm0005797,cinematographer,director of photography,
tt0029947,9,nm0387000,editor,,
tt0030341,10,nm0213164,editor,,
tt0030341,1,nm0516994,actress,,"[""Iris Matilda Henderson""]"
tt0030341,2,nm0714878,actor,,"[""Gilbert Redman""]"
tt0030341,3,nm0510134,actor,,"[""Dr. Egon Hartz""]"
tt0030341,4,nm0926599,actress,,"[""Miss Froy""]"
tt0030341,5,nm0000033,director,,
tt0030341,6,nm0924781,writer,"based upon the story by: ""The Wheel Spins""",
tt0030341,7,nm0319148,writer,screen play,
tt0030341,8,nm0490950,writer,screen play,
tt0030341,9,nm0185055,cinematographer,,
tt0031381,10,nm0308177,writer,contributing writer,
tt0031381,1,nm0000022,actor,,"[""Rhett Butler - Visitor from Charleston""]"
tt0031381,2,nm0000046,actress,,"[""Scarlett - Their Daughter""]"
tt0031381,3,nm0593775,actor,,"[""Gerald O'Hara""]"
tt0031381,4,nm0641966,actress,,"[""Ellen - His Wife""]"
tt0031381,5,nm0281808,director,,
tt0031381,6,nm0002030,director,,
tt0031381,7,nm0939992,director,,
tt0031381,8,nm0593565,writer,"story of the Old South ""Gone with the Wind""",
tt0031381,9,nm0397608,writer,screen play by,
tt0031679,10,nm0907900,cinematographer,director of photography,
tt0031679,1,nm0000071,actor,,"[""Jefferson Smith""]"
tt0031679,2,nm0000795,actress,,"[""Saunders""]"
tt0031679,3,nm0001647,actor,,"[""Senator Joseph Paine""]"
tt0031679,4,nm0036427,actor,,"[""Jim Taylor""]"
tt0031679,5,nm0001008,director,,
tt0031679,6,nm0118227,writer,screen play,
tt0031679,7,nm0287931,writer,story,
tt0031679,8,nm0175333,writer,contributor to screenplay construction and dialogue,
tt0031679,9,nm0006323,composer,,
tt0031885,10,nm0501116,cinematographer,,
tt0031885,1,nm0197950,actor,,"[""Marquis Robert de la Cheyniest""]"
tt0031885,2,nm0339669,actress,,"[""Christine de la Cheyniest""]"
tt0031885,3,nm0239513,actress,,"[""Lisette, sa camériste""]"
tt0031885,4,nm0664186,actress,,"[""Geneviève de Marras""]"
tt0031885,5,nm0719756,director,,
tt0031885,6,nm0002569,writer,collaborator,
tt0031885,7,nm0006158,composer,,
tt0031885,8,nm0022437,cinematographer,,
tt0031885,9,nm0045404,cinematographer,,
tt0031971,10,nm0522635,editor,film editor,
tt0031971,1,nm0000078,actor,,"[""Ringo Kid""]"
tt0031971,2,nm0872456,actress,,"[""Dallas""]"
tt0031971,3,nm0222596,actor,,"[""Buck""]"
tt0031971,4,nm0001017,actor,,"[""Hatfield""]"
tt0031971,5,nm0000406,director,,
tt0031971,6,nm0370697,writer,original story,
tt0031971,7,nm0629580,writer,screen play,
tt0031971,8,nm0372942,writer,,
tt0031971,9,nm0322688,cinematographer,director of photography,
tt0032138,10,nm0896542,director,director: Kansas scenes,
tt0032138,1,nm0000023,actress,,"[""Dorothy""]"
tt0032138,2,nm0604656,actor,,"[""Professor Marvel"",""The Wizard of Oz"",""The Gatekeeper""]"
tt0032138,3,nm0001961,actor,,"[""'Hunk'"",""The Scarecrow""]"
tt0032138,4,nm0481618,actor,,"[""'Zeke'"",""The Cowardly Lion""]"
tt0032138,5,nm0281808,director,,
tt0032138,6,nm0002030,director,,
tt0032138,7,nm0503777,director,,
tt0032138,8,nm0851537,director,,
tt0032138,9,nm0861703,director,,
tt0032455,10,nm0359610,director,,
tt0032455,1,nm0831439,self,,"[""Self - Conductor of The Philadelphia Orchestra""]"
tt0032455,2,nm0852252,self,,"[""Self - Narrative Introductions""]"
tt0032455,3,nm1727756,self,,"[""Themselves""]"
tt0032455,4,nm0123553,actor,,"[""Narrator: Deems Taylor overdubs (2000 restoration)""]"
tt0032455,5,nm0019282,director,,
tt0032455,6,nm0035899,director,,
tt0032455,7,nm1968474,director,,
tt0032455,8,nm0272568,director,,
tt0032455,9,nm0359457,director,,
tt0032551,10,nm0801184,editor,film editor,
tt0032551,1,nm0000020,actor,,"[""Tom Joad""]"
tt0032551,2,nm0002034,actress,,"[""Ma Joad""]"
tt0032551,3,nm0001017,actor,,"[""Jim Casy""]"
tt0032551,4,nm0335788,actor,,"[""Grandpa Joad""]"
tt0032551,5,nm0000406,director,,
tt0032551,6,nm0425913,writer,screen play,
tt0032551,7,nm0825705,writer,based on the novel by,
tt0032551,8,nm0953123,producer,producer,
tt0032551,9,nm0005904,cinematographer,director of photography,
tt0032553,10,nm0354916,actress,,"[""Madame Napaloni""]"
tt0032553,1,nm0000122,actor,,"[""Hynkel - Dictator of Tomania"",""A Jewish Barber""]"
tt0032553,2,nm0002104,actress,,"[""Hannah""]"
tt0032553,3,nm0642988,actor,,"[""Napaloni - Dictator of Bacteria""]"
tt0032553,4,nm0306786,actor,,"[""Schultz""]"
tt0032553,5,nm0835365,cinematographer,director of photography,
tt0032553,6,nm0005906,cinematographer,director of photography,
tt0032553,7,nm0630119,editor,film editor,
tt0032553,8,nm0199787,actor,,"[""Garbitsch""]"
tt0032553,9,nm0317970,actor,,"[""Herring""]"
tt0032599,10,nm0907900,cinematographer,director of photography,
tt0032599,1,nm0000026,actor,,"[""Walter Burns""]"
tt0032599,2,nm0751426,actress,,"[""Hildy Johnson""]"
tt0032599,3,nm0000897,actor,,"[""Bruce Baldwin""]"
tt0032599,4,nm0516876,actor,,"[""Sheriff Hartwell""]"
tt0032599,5,nm0001328,director,,
tt0032599,6,nm0496468,writer,screen play,
tt0032599,7,nm0372942,writer,"from the play ""The Front Page""",
tt0032599,8,nm0531269,writer,"from the play ""The Front Page""",
tt0032599,9,nm0753452,writer,additional dialogue,
tt0032904,10,nm0000077,composer,,
tt0032904,1,nm0000026,actor,,"[""C. K. Dexter Haven""]"
tt0032904,2,nm0000031,actress,,"[""Tracy Lord""]"
tt0032904,3,nm0000071,actor,,"[""Macaulay Connor""]"
tt0032904,4,nm0404046,actress,,"[""Elizabeth Imbrie""]"
tt0032904,5,nm0002030,director,,
tt0032904,6,nm0829330,writer,screen play,
tt0032904,7,nm0058129,writer,based on the play by,
tt0032904,8,nm0759029,writer,contributing writer,
tt0032904,9,nm0000581,producer,producer,
tt0032910,10,nm0730860,director,sequence director,
tt0032910,1,nm0427934,actor,,"[""Pinocchio"",""Alexander""]"
tt0032910,2,nm0747759,actor,,"[""Geppetto""]"
tt0032910,3,nm0000305,actor,,"[""Gideon (hiccoughs)""]"
tt0032910,4,nm0110893,actor,,"[""Carnival Barker""]"
tt0032910,5,nm0272568,director,sequence director,
tt0032910,6,nm0373429,director,sequence director,
tt0032910,7,nm0414144,director,sequence director,
tt0032910,8,nm0455741,director,sequence director,
tt0032910,9,nm0527217,director,supervising director,
tt0032976,10,nm0389580,writer,adaptation,
tt0032976,1,nm0000059,actor,,"[""'Maxim' de Winter""]"
tt0032976,2,nm0000021,actress,,"[""Mrs. de Winter""]"
tt0032976,3,nm0001695,actor,,"[""Jack Favell""]"
tt0032976,4,nm0000752,actress,,"[""Mrs. Danvers""]"
tt0032976,5,nm0000033,director,,
tt0032976,6,nm0238898,writer,celebrated novel,
tt0032976,7,nm0792845,writer,screen play,
tt0032976,8,nm0365661,writer,screen play,
tt0032976,9,nm0531878,writer,adaptation,
tt0033045,10,nm0200125,cinematographer,director of photography,
tt0033045,1,nm0837925,actress,,"[""Klara Novak""]"
tt0033045,2,nm0000071,actor,,"[""Alfred Kralik""]"
tt0033045,3,nm0604656,actor,,"[""Hugo Matuschek""]"
tt0033045,4,nm0771584,actor,,"[""Ferencz Vadas""]"
tt0033045,5,nm0523932,director,,
tt0033045,6,nm0710723,writer,screenplay,
tt0033045,7,nm0529450,writer,based on a play by,
tt0033045,8,nm0372942,writer,,
tt0033045,9,nm0006128,composer,,
tt0033467,10,nm0005904,cinematographer,,
tt0033467,1,nm0000080,actor,,"[""Kane""]"
tt0033467,2,nm0001072,actor,,"[""Jedediah Leland"",""Screening Room Reporter""]"
tt0033467,3,nm0173827,actress,,"[""Susan Alexander Kane""]"
tt0033467,4,nm0001547,actress,,"[""Mary Kane""]"
tt0033467,5,nm0542534,writer,original screen play,
tt0033467,6,nm0002144,writer,contributing writer,
tt0033467,7,nm0219670,writer,contributing writer,
tt0033467,8,nm0448809,writer,contributing writer,
tt0033467,9,nm0002136,composer,,
tt0033563,10,nm0789313,director,supervising director,
tt0033563,1,nm0001359,actor,,"[""Mr. Stork""]"
tt0033563,2,nm0112395,actor,,"[""Timothy Q. Mouse""]"
tt0033563,3,nm0082884,actor,,"[""The Ringmaster""]"
tt0033563,4,nm0000305,actor,,"[""Dumbo""]"
tt0033563,5,nm0035899,director,sequence director,
tt0033563,6,nm0272568,director,sequence director,
tt0033563,7,nm0414144,director,sequence director,
tt0033563,8,nm0455741,director,sequence director,
tt0033563,9,nm0730860,director,sequence director,
tt0033870,1,nm0000007,actor,,"[""Samuel Spade""]"
tt0033870,2,nm0000802,actress,,"[""Brigid O'Shaughnessy""]"
tt0033870,3,nm0313438,actress,,"[""Iva Archer""]"
tt0033870,4,nm0000048,actor,,"[""Joel Cairo""]"
tt0033870,5,nm0001379,director,,
tt0033870,6,nm0358591,writer,based upon the novel by,
tt0033870,7,nm0006037,composer,,
tt0033870,8,nm0249186,cinematographer,director of photography,
tt0033870,9,nm0724360,editor,film editor,
tt0034248,10,nm0000077,composer,,
tt0034248,1,nm0000026,actor,,"[""Johnnie Aysgarth""]"
tt0034248,2,nm0000021,actress,,"[""Lina McLaidlaw Aysgarth""]"
tt0034248,3,nm0362567,actor,,"[""General McLaidlaw""]"
tt0034248,4,nm0115558,actor,,"[""Gordon Cochran Thwaite aka Beaky""]"
tt0034248,5,nm0000033,director,,
tt0034248,6,nm0710723,writer,screen play,
tt0034248,7,nm0365661,writer,screen play,
tt0034248,8,nm0720904,writer,screen play,
tt0034248,9,nm0075324,writer,"novel ""Before the Fact""",
tt0034492,10,nm0766402,director,sequence director,
tt0034492,1,nm0017013,actor,,"[""Adolescent Bambi""]"
tt0034492,2,nm0018755,actor,,"[""Young Flower""]"
tt0034492,3,nm1027883,actress,,
tt0034492,4,nm0066951,actor,,"[""Young Thumper""]"
tt0034492,5,nm0019282,director,sequence director,
tt0034492,6,nm0035899,director,sequence director,
tt0034492,7,nm0359457,director,supervising director,
tt0034492,8,nm0373871,director,sequence director,
tt0034492,9,nm0730860,director,sequence director,
tt0034583,10,nm0019706,writer,play,
tt0034583,1,nm0000007,actor,,"[""Rick Blaine""]"
tt0034583,2,nm0000006,actress,,"[""Ilsa Lund""]"
tt0034583,3,nm0002134,actor,,"[""Victor Laszlo""]"
tt0034583,4,nm0001647,actor,,"[""Captain Louis Renault""]"
tt0034583,5,nm0002031,director,,
tt0034583,6,nm0258493,writer,screenplay,
tt0034583,7,nm0258525,writer,screenplay,
tt0034583,8,nm0462321,writer,screenplay,
tt0034583,9,nm0122417,writer,play,
tt0035423,10,nm0107463,editor,,
tt0035423,1,nm0000212,actress,,"[""Kate McKay""]"
tt0035423,2,nm0413168,actor,,"[""Leopold""]"
tt0035423,3,nm0000630,actor,,"[""Stuart Besser""]"
tt0035423,4,nm0005227,actor,,"[""Charlie McKay""]"
tt0035423,5,nm0003506,director,,
tt0035423,6,nm0737216,writer,story,
tt0035423,7,nm0465298,producer,producer,
tt0035423,8,nm0448843,composer,,
tt0035423,9,nm0238698,cinematographer,,
tt0035446,10,nm0817929,editor,film editor,
tt0035446,1,nm0001479,actress,,"[""Maria Tura""]"
