tconst,titleType,primaryTitle,originalTitle,isAdult,startYear,endYear,runtimeMinutes,genres,genre1,genre2,genre3,url,averageRating,numVotes,metascore,country,primary_language,color,budget,opening_weekend_usa,gross_usa,cumulative_worldwide,tagline,summary,image_url
tt0019254,movie,The Passion of Joan of Arc,La passion de Jeanne d'Arc,0,1928,,110.0,"Biography,Drama,History",Biography,Drama,History,https://www.imdb.com/title/tt0019254,8.1,47242,,France,None,Black and White,,"$6,408,","$21,877","$21,877",An Immortal Screen Classic that will live Forever!,"In 1431, Jeanne d'Arc is placed on trial on charges of heresy. The ecclesiastical jurists attempt to force Jeanne to recant her claims of holy visions.","https://m.media-amazon.com/images/M/MV5BNjBjNDJiYTUtOWY0OS00OGVmLTg2YzctMTE0NzVhODM1ZWJmXkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_UX182_CR0,0,182,268_AL_.jpg"
tt0020629,movie,All Quiet on the Western Front,All Quiet on the Western Front,0,1930,,152.0,"Drama,War",Drama,War,,https://www.imdb.com/title/tt0020629,8.0,57111,91,USA,English,Black and White,"$1,200,000",,,,"SEE all of the famed characters in ERICH MARIA REMARQUE'S world-stirring novel - Louis Wolheim as Katzcinsky, Lewis Ayres as Paul Baumer, John Wray as Sergeant Himmelstoss. See Tjaden, the French girls across the canal, Paul's mother - every one of the folks in the book is here!","A German youth eagerly enters World War I, but his enthusiasm wanes as he gets a firsthand view of the horror.","https://m.media-amazon.com/images/M/MV5BMzg2MWQ4MDEtOGZlNi00MTg0LWIwMjQtYWY5NTQwYmUzMWNmXkEyXkFqcGdeQXVyMzg2MzE2OTE@._V1_UX182_CR0,0,182,268_AL_.jpg"
tt0021749,movie,City Lights,City Lights,0,1931,,87.0,"Comedy,Drama,Romance",Comedy,Drama,Romance,https://www.imdb.com/title/tt0021749,8.5,166732,99,USA,None,Black and White,"$1,500,000","$9,102,","$19,181","$46,008","""Too Funny For Words!"" (Print Ad- New York Sun, ((New York NY)) 16 April 1931)","With the aid of a wealthy erratic tippler, a dewy-eyed tramp who has fallen in love with a sightless flower girl accumulates money to be able to help her medically.","https://m.media-amazon.com/images/M/MV5BY2I4MmM1N2EtM2YzOS00OWUzLTkzYzctNDc5NDg2N2IyODJmXkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_UX182_CR0,0,182,268_AL_.jpg"
tt0021814,movie,Dracula,Dracula,0,1931,,75.0,"Drama,Fantasy,Horror",Drama,Fantasy,Horror,https://www.imdb.com/title/tt0021814,7.5,46533,71,USA,English,Black and White,"$355,000",,,"$85,204","The Human Vampire! He Comes From His Grave at Night...Drinks Living Blood...Bestows Crimson Kisses no Woman Can Resist! (Print Ad- Philadelphia Inquirer, ((Philadelphia, Penna.)) 8 March 1931)","After a naive real estate agent succumbs to the will of Count Dracula, the two head to London where the vampire sleeps in his coffin by day and searches for potential victims by night.","https://m.media-amazon.com/images/M/MV5BMjM1Njk0NDEwMl5BMl5BanBnXkFtZTgwMTQyNzgwMjE@._V1_UX182_CR0,0,182,268_AL_.jpg"
tt0021884,movie,Frankenstein,Frankenstein,0,1931,,70.0,"Drama,Horror,Sci-Fi",Drama,Horror,Sci-Fi,https://www.imdb.com/title/tt0021884,7.8,64988,91,USA,English,Black and White,"$291,000",,,"$1,626","To Have Seen ""Frankenstein"" Is To Wear A Badge Of Courage (Print Ad- Rochester Journal, ((Rochester NY)) 5 December 1931)",Dr. Frankenstein dares to tamper with life and death by creating a human monster out of lifeless body parts.,"https://m.media-amazon.com/images/M/MV5BMTQ0Njc1MjM0OF5BMl5BanBnXkFtZTgwNTY2NTUyMjE@._V1_UX182_CR0,0,182,268_AL_.jpg"
tt0022100,movie,M,M - Eine Stadt sucht einen Mörder,0,1931,,117.0,"Crime,Mystery,Thriller",Crime,Mystery,Thriller,https://www.imdb.com/title/tt0022100,8.3,142596,,Germany,German,Black and White,,"$6,123,","$35,566","$35,566",IT STAGGERS THE SENSES!...SHOCKS the Imagination - It will leave you Gasping - It is the Sensation of 3 Continents!,"When the police in a German city are unable to catch a child-murderer, other criminals join in the manhunt.","https://m.media-amazon.com/images/M/MV5BODA4ODk3OTEzMF5BMl5BanBnXkFtZTgwMTQ2ODMwMzE@._V1_UX182_CR0,0,182,268_AL_.jpg"
tt0022913,movie,Freaks,Freaks,0,1932,,64.0,"Drama,Horror",Drama,Horror,,https://www.imdb.com/title/tt0022913,7.9,41962,80,USA,English,Black and White,"$310,607",,,"$4,072","You'll ask yourself a thousand questions! Do the Siamese twins have separate romances? (Print Ad- New York Sun, ((New York, NY)) 8 July 1932)","A circus' beautiful trapeze artist agrees to marry the leader of side-show performers, but his deformed friends discover she is only marrying him for his inheritance.","https://m.media-amazon.com/images/M/MV5BMjMyYjgyOTQtZDVlZS00NTQ0LWJiNDItNGRlZmM3Yzc0N2Y0XkEyXkFqcGdeQXVyNTA4NzY1MzY@._V1_UX182_CR0,0,182,268_AL_.jpg"
tt0023427,movie,Scarface,Scarface: The Shame of the Nation,0,1932,,93.0,"Action,Crime,Drama",Action,Crime,Drama,https://www.imdb.com/title/tt0023427,7.8,25179,87,USA,English,Black and White,,,,"$1,308,000","HOWARD HUGHES' WHITE-HOT THUNDERBOLT of DRAMA! (print ad - Lubbock Evening Journal- Chief Theatre - Lubbock, Texas - May 28, 1947 - mostly caps)","An ambitious and nearly insane violent gangster climbs the ladder of success in the mob, but his weaknesses prove to be his downfall.","https://m.media-amazon.com/images/M/MV5BYmMxZTU2ZDUtM2Y1MS00ZWFmLWJlN2UtNzI0OTJiOTYzMTk3XkEyXkFqcGdeQXVyMjUxODE0MDY@._V1_UX182_CR0,0,182,268_AL_.jpg"
tt0023969,movie,Duck Soup,Duck Soup,0,1933,,69.0,"Comedy,Musical,War",Comedy,Musical,War,https://www.imdb.com/title/tt0023969,7.8,55438,93,USA,English,Black and White,,,,"$103,800","Laughing Soup...concocted, brewed and dished up by the Mad Marxes...Groucho, Harpo, Chico and Zeppo. (Print Ad-Register-Herald, ((Pine Plains, NY)) 23 November 1933)",Rufus T. Firefly is named president/dictator of bankrupt Freedonia and declares war on neighboring Sylvania over the love of wealthy Mrs. Teasdale.,"https://m.media-amazon.com/images/M/MV5BYmYxZGU2NWYtNzQxZS00NmEyLWIzN2YtMDk5MWM0ODc5ZTE4XkEyXkFqcGdeQXVyNTA4NzY1MzY@._V1_UX182_CR0,0,182,268_AL_.jpg"
tt0024184,movie,The Invisible Man,The Invisible Man,0,1933,,71.0,"Horror,Sci-Fi",Horror,Sci-Fi,,https://www.imdb.com/title/tt0024184,7.7,30401,87,USA,English,Black and White,,,,"$27,105",H.G. Wells' Fantastic Out Of This World Show!,"A scientist finds a way of becoming invisible, but in doing so, he becomes murderously insane.","https://m.media-amazon.com/images/M/MV5BMTM3NzkyOTIzNl5BMl5BanBnXkFtZTcwNTI4MzI2OA@@._V1_UX182_CR0,0,182,268_AL_.jpg"
tt0024216,movie,King Kong,King Kong,0,1933,,100.0,"Adventure,Horror,Sci-Fi",Adventure,Horror,Sci-Fi,https://www.imdb.com/title/tt0024216,7.9,78605,90,USA,English,Black and White,"$670,000",,,$651,The strangest story ever conceived by man.,A film crew goes to a tropical island for an exotic location shoot and discovers a colossal ape who takes a shine to their female blonde star. He is then captured and brought back to New York City for public exhibition.,"https://m.media-amazon.com/images/M/MV5BZTY3YjYxZGQtMTM2YS00ZmYwLWFlM2QtOWFlMTU1NTAyZDQ2XkEyXkFqcGdeQXVyNTgyNTA4MjM@._V1_UX182_CR0,0,182,268_AL_.jpg"
tt0025316,movie,It Happened One Night,It Happened One Night,0,1934,,105.0,"Comedy,Romance",Comedy,Romance,,https://www.imdb.com/title/tt0025316,8.1,93430,87,USA,English,Black and White,"$325,000",,,,Two great lovers of the screen in the grandest of romantic comedies !,"A renegade reporter and a crazy young heiress meet on a bus heading for New York, and end up stuck with each other when the bus leaves them behind at one of the stops.","https://m.media-amazon.com/images/M/MV5BYzJmMWE5NjAtNWMyZS00NmFiLWIwMDgtZDE2NzczYWFhNzIzXkEyXkFqcGdeQXVyNjc1NTYyMjg@._V1_UX182_CR0,0,182,268_AL_.jpg"
tt0025878,movie,The Thin Man,The Thin Man,0,1934,,91.0,"Comedy,Crime,Mystery",Comedy,Crime,Mystery,https://www.imdb.com/title/tt0025878,8.0,26402,86,USA,English,Black and White,"$226,408",,,,"MAN OF 1000 THRILLS and 2000 Laughs! (Print Ad- Albany Times-Union, ((Albany NY)) 18 July 1934)","Former detective Nick Charles and his wealthy wife Nora investigate a murder case, mostly for the fun of it.","https://m.media-amazon.com/images/M/MV5BYmFlOWMwMjAtMDMyMC00N2JjLTllODUtZjY3YWU3NGRkM2I2L2ltYWdlXkEyXkFqcGdeQXVyMjUxODE0MDY@._V1_UX182_CR0,0,182,268_AL_.jpg"
tt0026029,movie,The 39 Steps,The 39 Steps,0,1935,,86.0,"Crime,Mystery,Thriller",Crime,Mystery,Thriller,https://www.imdb.com/title/tt0026029,7.6,51584,93,UK,English,Black and White,"GBP50,000",,,"$51,711","His First Picture Since ""Monte Cristo"" ROBERT DONAT","A man in London tries to help a counter-espionage Agent. But when the Agent is killed, and the man stands accused, he must go on the run to save himself and stop a spy ring which is trying to steal top secret information.","https://m.media-amazon.com/images/M/MV5BMTY5ODAzMTcwOF5BMl5BanBnXkFtZTcwMzYxNDYyNA@@._V1_UX182_CR0,0,182,268_AL_.jpg"
tt0026138,movie,The Bride of Frankenstein,Bride of Frankenstein,0,1935,,75.0,"Drama,Horror,Sci-Fi",Drama,Horror,Sci-Fi,https://www.imdb.com/title/tt0026138,7.8,43314,95,USA,English,Black and White,"$397,024",,,"$10,493","She breathes, sees, hears, walks -- but can she love?","Mary Shelley reveals the main characters of her novel survived: Dr. Frankenstein, goaded by an even madder scientist, builds his monster a mate.","https://m.media-amazon.com/images/M/MV5BOTUzMzAzMzEzNV5BMl5BanBnXkFtZTgwOTg1NTAwMjE@._V1_UX182_CR0,0,182,268_AL_.jpg"
tt0026778,movie,A Night at the Opera,A Night at the Opera,0,1935,,96.0,"Comedy,Music,Musical",Comedy,Music,Musical,https://www.imdb.com/title/tt0026778,7.9,30462,,USA,English,Black and White,,,"$2,537,520","$3,956,700",Don't miss it! The funniest picture ever made!,A sly business manager and two wacky friends of two opera singers help them achieve success while humiliating their stuffy and snobbish enemies.,"https://m.media-amazon.com/images/M/MV5BYTJmNmQxNGItNDNlMC00MDU3LWFhNzMtZDQ2NDY0ZTVkNjE3XkEyXkFqcGdeQXVyMDI2NDg0NQ@@._V1_UX182_CR0,0,182,268_AL_.jpg"
tt0027977,movie,Modern Times,Modern Times,0,1936,,87.0,"Comedy,Drama,Family",Comedy,Drama,Family,https://www.imdb.com/title/tt0027977,8.5,216426,96,USA,English,Black and White,"$1,500,000","$35,809,","$163,577","$457,688",Laugh . . . Cry and Thrill To his Genius . . !,The Tramp struggles to live in modern industrial society with the help of a young homeless woman.,"https://m.media-amazon.com/images/M/MV5BYjJiZjMzYzktNjU0NS00OTkxLWEwYzItYzdhYWJjN2QzMTRlL2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_UX182_CR0,0,182,268_AL_.jpg"
tt0028950,movie,The Grand Illusion,La grande illusion,0,1937,,113.0,"Drama,War",Drama,War,,https://www.imdb.com/title/tt0028950,8.1,33696,,France,French,Black and White,,,,"$19,821",A Great Drama of Human Emotions,"During WWI, two French soldiers are captured and imprisoned in a German P.O.W. camp. Several escape attempts follow until they are eventually sent to a seemingly inescapable fortress.","https://m.media-amazon.com/images/M/MV5BMTg3MTI5NTk0N15BMl5BanBnXkFtZTgwMjU1MDM5MTE@._V1_UY268_CR8,0,182,268_AL_.jpg"
tt0029583,movie,Snow White and the Seven Dwarfs,Snow White and the Seven Dwarfs,0,1937,,83.0,"Animation,Family,Fantasy",Animation,Family,Fantasy,https://www.imdb.com/title/tt0029583,7.6,180719,95,USA,English,Color,"$1,499,000","$6,017,914,","$184,925,486","$184,925,486","You'll Say ...""I never had so much fun in a theatre"" (print ad - Lubbock Morning Avalanche - Broadway & Lyric Theatres - Lubbock, Texas - May 28, 1938)","Exiled into the dangerous forest by her wicked stepmother, a princess is rescued by seven dwarf miners who make her part of their household.","https://m.media-amazon.com/images/M/MV5BMTQwMzE2Mzc4M15BMl5BanBnXkFtZTcwMTE4NTc1Nw@@._V1_UX182_CR0,0,182,268_AL_.jpg"
tt0029843,movie,The Adventures of Robin Hood,The Adventures of Robin Hood,0,1938,,102.0,"Action,Adventure,Romance",Action,Adventure,Romance,https://www.imdb.com/title/tt0029843,7.9,46996,97,USA,English,Color,"$1,900,000",,,,"WEST TEXAS PREMIER SHOWING (print ad - Lubbock Avalanche Journal - Palace Theatre - Lubbock, Texas - May 15, 1938 - all caps)","When Prince John and the Norman Lords begin oppressing the Saxon masses in King Richard's absence, a Saxon lord fights back as the outlaw leader of a rebel guerrilla army.","https://m.media-amazon.com/images/M/MV5BYjZjOTU3MTMtYTM5YS00YjZmLThmNmMtODcwOTM1NmRiMWM2XkEyXkFqcGdeQXVyNjc1NTYyMjg@._V1_UX182_CR0,0,182,268_AL_.jpg"
tt0029947,movie,Bringing Up Baby,Bringing Up Baby,0,1938,,102.0,"Comedy,Family,Romance",Comedy,Family,Romance,https://www.imdb.com/title/tt0029947,7.9,54860,91,USA,English,Black and White,"$1,073,000",,,"$11,180","THE CHECKERED CAREER OF A SPOTTED BEAST...Yes, It Is a Laughing Matter! (print ad)","While trying to secure a $1 million donation for his museum, a befuddled paleontologist is pursued by a flighty and often irritating heiress and her pet leopard, Baby.","https://m.media-amazon.com/images/M/MV5BMmVkOTRiYmItZjE4NS00MWNjLWE0ZmMtYzg5YzFjMjMyY2RkXkEyXkFqcGdeQXVyNjc1NTYyMjg@._V1_UX182_CR0,0,182,268_AL_.jpg"
tt0030341,movie,The Lady Vanishes,The Lady Vanishes,0,1938,,96.0,"Mystery,Thriller",Mystery,Thriller,,https://www.imdb.com/title/tt0030341,7.8,47140,,UK,English,Black and White,,,,"$39,776",The Film That Made ALFRED HITCHCOCK Master of Suspense!,"While travelling in continental Europe, a rich young playgirl realizes that an elderly lady seems to have disappeared from the train.","https://m.media-amazon.com/images/M/MV5BNjk3YzFjYTktOGY0ZS00Y2EwLTk2NTctYTI1Nzc2OWNiN2I4XkEyXkFqcGdeQXVyNzM0MTUwNTY@._V1_UX182_CR0,0,182,268_AL_.jpg"
tt0031381,movie,Gone with the Wind,Gone with the Wind,0,1939,,238.0,"Drama,History,Romance",Drama,History,Romance,https://www.imdb.com/title/tt0031381,8.1,288671,97,USA,English,Color,"$3,977,000","$1,192,593,","$200,852,579","$400,176,459",Now in 70mm. wide screen and full stereophonic sound! [reissue],A manipulative woman and a roguish man conduct a turbulent romance during the American Civil War and Reconstruction periods.,"https://m.media-amazon.com/images/M/MV5BYjUyZWZkM2UtMzYxYy00ZmQ3LWFmZTQtOGE2YjBkNjA3YWZlXkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_UX182_CR0,0,182,268_AL_.jpg"
tt0031679,movie,Mr. Smith Goes to Washington,Mr. Smith Goes to Washington,0,1939,,129.0,"Comedy,Drama",Comedy,Drama,,https://www.imdb.com/title/tt0031679,8.1,106464,73,USA,English,Black and White,"$1,900,000","$83,205,","$144,738","$144,738",Capra's Greatest Hit --- The Screen At Its Most Inspired!,"A naive man is appointed to fill a vacancy in the United States Senate. His plans promptly collide with political corruption, but he doesn't back down.","https://m.media-amazon.com/images/M/MV5BZTYwYjYxYzgtMDE1Ni00NzU4LWJlMTEtODQ5YmJmMGJhZjI5L2ltYWdlXkEyXkFqcGdeQXVyMDI2NDg0NQ@@._V1_UX182_CR0,0,182,268_AL_.jpg"
tt0031885,movie,The Rules of the Game,La règle du jeu,0,1939,,110.0,"Comedy,Drama",Comedy,Drama,,https://www.imdb.com/title/tt0031885,8.0,26586,,France,French,Black and White,"FRF5,500,500",,"$273,641","$273,641",One of the two or three greatest films ever made in France.,"A bourgeois life in France at the onset of World War II, as the rich and their poor servants meet up at a French chateau.","https://m.media-amazon.com/images/M/MV5BYTE4NjYxMGEtZmQxZi00YWVmLWJjZTctYTJmNDFmZGEwNDVhXkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_UY268_CR5,0,182,268_AL_.jpg"
tt0031971,movie,Stagecoach,Stagecoach,0,1939,,96.0,"Adventure,Drama,Western",Adventure,Drama,Western,https://www.imdb.com/title/tt0031971,7.8,43342,93,USA,English,Black and White,"$392,000",,,,What an Action Picture!,A group of people traveling on a stagecoach find their journey complicated by the threat of Geronimo and learn something about each other in the process.,"https://m.media-amazon.com/images/M/MV5BOGQ4NDUyNWQtZTEyOC00OTMzLWFhYjAtNDNmYmQ2MWQyMTRmXkEyXkFqcGdeQXVyNTA4NzY1MzY@._V1_UX182_CR0,0,182,268_AL_.jpg"
tt0032138,movie,The Wizard of Oz,The Wizard of Oz,0,1939,,102.0,"Adventure,Family,Fantasy",Adventure,Family,Fantasy,https://www.imdb.com/title/tt0032138,8.0,370454,92,USA,English,Black and White,"$2,777,000","$5,354,311,","$24,438,411","$24,821,666",Great On The Wide Screen ! (1955 re-release),Dorothy Gale is swept away from a farm in Kansas to a magical land of Oz in a tornado and embarks on a quest with her new friends to see the Wizard who can help her return home to Kansas and help her friends as well.,"https://m.media-amazon.com/images/M/MV5BNjUyMTc4MDExMV5BMl5BanBnXkFtZTgwNDg0NDIwMjE@._V1_UX182_CR0,0,182,268_AL_.jpg"
tt0032455,movie,Fantasia,Fantasia,0,1940,,125.0,"Animation,Family,Fantasy",Animation,Family,Fantasy,https://www.imdb.com/title/tt0032455,7.7,88234,96,USA,English,Color,"$2,280,000","$980,798,","$76,408,097","$76,411,819",Hear the pictures! See the music!,A collection of animated interpretations of great works of Western classical music.,"https://m.media-amazon.com/images/M/MV5BMjAxMTI1Njk3OF5BMl5BanBnXkFtZTgwNjkzODk4NTE@._V1_UX182_CR0,0,182,268_AL_.jpg"
tt0032551,movie,The Grapes of Wrath,The Grapes of Wrath,0,1940,,129.0,"Drama,History",Drama,History,,https://www.imdb.com/title/tt0032551,8.0,85379,96,USA,English,Black and White,"$800,000",,,,The Joads step right out of the pages of the novel that has shocked millions !,"A poor Midwest family is forced off their land. They travel to California, suffering the misfortunes of the homeless in the Great Depression.","https://m.media-amazon.com/images/M/MV5BNzJiOGI2MjctYjUyMS00ZjkzLWE2ZmUtOTg4NTZkOTNhZDc1L2ltYWdlXkEyXkFqcGdeQXVyNjc1NTYyMjg@._V1_UX182_CR0,0,182,268_AL_.jpg"
tt0032553,movie,The Great Dictator,The Great Dictator,0,1940,,125.0,"Comedy,Drama,War",Comedy,Drama,War,https://www.imdb.com/title/tt0032553,8.4,201944,,USA,English,Black and White,"$2,000,000",,,"$969,879",Once again - the whole world laughs!,Dictator Adenoid Hynkel tries to expand his empire while a poor Jewish barber tries to avoid persecution from Hynkel's regime.,"https://m.media-amazon.com/images/M/MV5BMmExYWJjNTktNGUyZS00ODhmLTkxYzAtNWIzOGEyMGNiMmUwXkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_UX182_CR0,0,182,268_AL_.jpg"
tt0032599,movie,His Girl Friday,His Girl Friday,0,1940,,92.0,"Comedy,Drama,Romance",Comedy,Drama,Romance,https://www.imdb.com/title/tt0032599,7.9,53339,,USA,English,Black and White,,,"$296,000",,She learned about men from him!,A newspaper editor uses every trick in the book to keep his ace reporter ex-wife from remarrying.,"https://m.media-amazon.com/images/M/MV5BZDVmZTZkYjMtNmViZC00ODEzLTgwNDAtNmQ3OGQwOWY5YjFmXkEyXkFqcGdeQXVyNDY2MTk1ODk@._V1_UX182_CR0,0,182,268_AL_.jpg"
tt0032904,movie,The Philadelphia Story,The Philadelphia Story,0,1940,,112.0,"Comedy,Romance",Comedy,Romance,,https://www.imdb.com/title/tt0032904,7.9,63182,96,USA,English,Black and White,,"$258,994,","$404,524","$411,663",Broadway's howling year-run comedy hit of the snooty society beauty who slipped and fell - IN LOVE!,"When a rich woman's ex-husband and a tabloid-type reporter turn up just before her planned remarriage, she begins to learn the truth about herself.","https://m.media-amazon.com/images/M/MV5BYjQ4ZDA4NGMtMTkwYi00NThiLThhZDUtZTEzNTAxOWYyY2E4XkEyXkFqcGdeQXVyMjUxODE0MDY@._V1_UY268_CR0,0,182,268_AL_.jpg"
tt0032910,movie,Pinocchio,Pinocchio,0,1940,,88.0,"Animation,Comedy,Family",Animation,Comedy,Family,https://www.imdb.com/title/tt0032910,7.4,130616,99,USA,English,Color,"$2,600,000","$3,769,251,","$84,254,167","$121,892,045",Walt Disney's Full Length FEATURE Production Pinocchio In Multiplane TECHNICOLOR,"A living puppet, with the help of a cricket as his conscience, must prove himself worthy to become a real boy.","https://m.media-amazon.com/images/M/MV5BMTU4Mzk3ODIyOF5BMl5BanBnXkFtZTgwODgyNzk2NjE@._V1_UX182_CR0,0,182,268_AL_.jpg"
